ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
0.17,-0.0,0.99,2.93,0.31,2.38,50.0,11.0,14.0,1.0044899203078146,,,Unknown
0.15,0.02,1.01,-2.93,-1.71,0.24,52.0,9.0,14.0,1.0212737145349429,,,Unknown
0.17,0.01,1.0,2.14,-0.12,-2.44,53.0,11.0,18.0,1.0143963722332607,,,Unknown
0.16,0.01,0.99,0.0,-0.24,-1.04,53.0,13.0,13.0,1.0028958071504737,,,Unknown
0.16,0.02,0.96,2.38,-3.54,-0.31,54.0,14.0,16.0,0.9734474818910366,,,Unknown
0.04,-0.14,0.7,-104.25,-90.7,111.08,50.0,24.0,7.0,0.714982517268779,,,Unknown
0.0,-0.25,1.23,125.49,1.77,168.03,16.0,56.0,-17.0,1.2551493934986384,,,Unknown
0.03,-0.25,1.34,41.87,66.83,168.88,-31.0,10.0,-41.0,1.363451502621197,,,Unknown
0.24,-0.03,1.46,40.83,211.55,54.02,-6.0,-45.0,-30.0,1.479898645178108,,,Unknown
0.25,-0.1,0.68,93.69,326.9,-93.08,-6.0,-50.0,-17.0,0.731368580129062,,,Unknown
0.52,-0.81,-0.02,48.16,184.94,-99.98,-8.0,-52.0,-21.0,0.9627564593395362,,,Unknown
0.41,-0.81,-0.26,-12.51,100.65,-73.67,-8.0,-56.0,-12.0,0.944351629426243,,,Unknown
0.46,-0.94,-0.08,-97.96,69.58,-41.56,19.0,-42.0,8.0,1.049571341072154,,,Unknown
0.45,-1.08,-0.02,-108.7,57.31,-14.53,27.0,-39.0,5.0,1.1701709276853531,,,Unknown
0.53,-1.07,0.16,-199.58,15.87,79.1,34.0,-37.0,5.0,1.2047406359876802,,,Unknown
0.63,-0.97,0.34,-145.45,-21.24,143.8,48.0,-42.0,14.0,1.2055704044144415,,,Unknown
0.62,-0.33,0.54,-120.12,-84.72,189.76,65.0,-30.0,10.0,0.885945822271317,,,Unknown
0.38,0.18,0.77,-90.64,-121.83,181.34,65.0,-21.0,8.0,0.8773254812211942,,,Unknown
0.02,0.4,0.73,-4.64,-103.7,152.65,60.0,-10.0,0.0,0.8326463835266446,,,Unknown
-0.22,0.3,0.85,58.96,-68.3,119.81,58.0,-4.0,-8.0,0.9278469701410895,,,Unknown
-0.35,0.11,1.07,72.81,-3.36,132.26,41.0,101.0,19.0,1.131149857445953,,,Unknown
-0.39,-0.08,1.2,108.76,50.29,157.71,-108.0,11.0,9.0,1.264317997973611,,,Unknown
-0.26,-0.19,1.13,50.17,88.38,129.27,-14.0,-45.0,-39.0,1.1749893616539682,,,Unknown
0.06,-0.2,1.2,-15.93,149.35,80.93,2.0,-52.0,-27.0,1.218031198286809,,,Unknown
0.34,-0.1,1.08,61.58,202.7,-37.72,0.0,-50.0,-32.0,1.1366617790706257,,,Unknown
0.44,-0.32,0.43,-62.32,204.65,-92.53,0.0,-49.0,-25.0,0.6934695379034324,,,Unknown
0.58,-0.66,0.15,-47.49,124.51,-93.44,0.0,-48.0,-19.0,0.8913472948295743,,,Unknown
0.62,-0.65,0.16,-31.86,69.52,-63.72,7.0,-46.0,-11.0,0.9124143795447329,,,Unknown
0.61,-0.81,0.07,-55.91,51.15,-48.46,10.0,-43.0,-1.0,1.0164152694642086,,,Unknown
0.59,-0.85,0.09,-56.09,50.29,-44.49,19.0,-38.0,-2.0,1.0386048334183697,,,Unknown
0.58,-0.95,0.08,-40.28,42.79,-33.14,22.0,-35.0,5.0,1.1159301053381434,,,Unknown
0.62,-1.04,0.09,-37.05,16.48,7.02,30.0,-34.0,5.0,1.2141251994749143,,,Unknown
0.67,-1.01,0.15,-86.67,-20.26,63.72,32.0,-37.0,8.0,1.2212698309546504,,,Unknown
0.73,-0.86,0.32,-103.88,-68.85,147.09,38.0,-36.0,7.0,1.1725612990372827,,,Unknown
0.61,-0.18,0.58,-40.47,-121.7,162.96,37.0,-33.0,11.0,0.8607554821202128,,,Unknown
0.5,-0.01,0.72,-4.52,-76.11,71.9,35.0,-25.0,11.0,0.8766413177577247,,,Unknown
0.42,-0.0,0.87,-3.6,-56.7,46.39,32.0,-24.0,6.0,0.9660745312862771,,,Unknown
0.33,0.02,0.94,-11.96,-39.25,41.2,31.0,-20.0,0.0,0.9964436762808021,,,Unknown
0.28,0.03,0.93,8.24,-31.49,34.79,29.0,-22.0,4.0,0.9716995420396164,,,Unknown
0.23,0.03,0.98,32.23,-21.61,31.01,23.0,-19.0,14.0,1.0070749723828907,,,Unknown
0.18,0.0,1.02,20.87,-12.63,27.34,20.0,-18.0,9.0,1.035760590097924,,,Unknown
0.15,-0.03,0.99,18.55,-12.82,24.11,12.0,-21.0,20.0,1.00174847142384,,,Unknown
0.12,-0.07,1.01,27.83,-10.74,19.59,4.0,-26.0,26.0,1.0195096860746347,,,Unknown
0.12,-0.13,1.0,18.31,-13.06,22.77,-21.0,-46.0,26.0,1.0155294185792947,,,Unknown
0.1,-0.18,0.95,23.74,-7.02,20.26,-31.0,-61.0,15.0,0.97205966895042,,,Unknown
0.11,-0.21,1.03,27.89,-8.3,24.96,-31.0,-68.0,-7.0,1.056929515152264,,,Unknown
0.13,-0.29,1.03,17.58,9.64,30.33,-20.0,-65.0,-21.0,1.0779146533933008,,,Unknown
0.22,-0.28,1.1,19.35,49.44,35.16,-1.0,-50.0,-28.0,1.1562006746235707,,,Unknown
0.28,-0.21,0.97,13.37,71.78,26.61,2.0,-46.0,-26.0,1.031212878119741,,,Unknown
