ax,ay,az,gx,gy,gz,mx,my,mz
0.17,-0.00,0.99,2.93,0.31,2.38,50.00,11.00,14.00
0.15,0.02,1.01,-2.93,-1.71,0.24,52.00,9.00,14.00
0.17,0.01,1.00,2.14,-0.12,-2.44,53.00,11.00,18.00
0.16,0.01,0.99,0.00,-0.24,-1.04,53.00,13.00,13.00
0.16,0.02,0.96,2.38,-3.54,-0.31,54.00,14.00,16.00
0.04,-0.14,0.70,-104.25,-90.70,111.08,50.00,24.00,7.00
0.00,-0.25,1.23,125.49,1.77,168.03,16.00,56.00,-17.00
0.03,-0.25,1.34,41.87,66.83,168.88,-31.00,10.00,-41.00
0.24,-0.03,1.46,40.83,211.55,54.02,-6.00,-45.00,-30.00
0.25,-0.10,0.68,93.69,326.90,-93.08,-6.00,-50.00,-17.00
0.52,-0.81,-0.02,48.16,184.94,-99.98,-8.00,-52.00,-21.00
0.41,-0.81,-0.26,-12.51,100.65,-73.67,-8.00,-56.00,-12.00
0.46,-0.94,-0.08,-97.96,69.58,-41.56,19.00,-42.00,8.00
0.45,-1.08,-0.02,-108.70,57.31,-14.53,27.00,-39.00,5.00
0.53,-1.07,0.16,-199.58,15.87,79.10,34.00,-37.00,5.00
0.63,-0.97,0.34,-145.45,-21.24,143.80,48.00,-42.00,14.00
0.62,-0.33,0.54,-120.12,-84.72,189.76,65.00,-30.00,10.00
0.38,0.18,0.77,-90.64,-121.83,181.34,65.00,-21.00,8.00
0.02,0.40,0.73,-4.64,-103.70,152.65,60.00,-10.00,0.00
-0.22,0.30,0.85,58.96,-68.30,119.81,58.00,-4.00,-8.00
-0.35,0.11,1.07,72.81,-3.36,132.26,41.00,101.00,19.00
-0.39,-0.08,1.20,108.76,50.29,157.71,-108.00,11.00,9.00
-0.26,-0.19,1.13,50.17,88.38,129.27,-14.00,-45.00,-39.00
0.06,-0.20,1.20,-15.93,149.35,80.93,2.00,-52.00,-27.00
0.34,-0.10,1.08,61.58,202.70,-37.72,0.00,-50.00,-32.00
0.44,-0.32,0.43,-62.32,204.65,-92.53,0.00,-49.00,-25.00
0.58,-0.66,0.15,-47.49,124.51,-93.44,0.00,-48.00,-19.00
0.62,-0.65,0.16,-31.86,69.52,-63.72,7.00,-46.00,-11.00
0.61,-0.81,0.07,-55.91,51.15,-48.46,10.00,-43.00,-1.00
0.59,-0.85,0.09,-56.09,50.29,-44.49,19.00,-38.00,-2.00
0.58,-0.95,0.08,-40.28,42.79,-33.14,22.00,-35.00,5.00
0.62,-1.04,0.09,-37.05,16.48,7.02,30.00,-34.00,5.00
0.67,-1.01,0.15,-86.67,-20.26,63.72,32.00,-37.00,8.00
0.73,-0.86,0.32,-103.88,-68.85,147.09,38.00,-36.00,7.00
0.61,-0.18,0.58,-40.47,-121.70,162.96,37.00,-33.00,11.00
0.50,-0.01,0.72,-4.52,-76.11,71.90,35.00,-25.00,11.00
0.42,-0.00,0.87,-3.60,-56.70,46.39,32.00,-24.00,6.00
0.33,0.02,0.94,-11.96,-39.25,41.20,31.00,-20.00,0.00
0.28,0.03,0.93,8.24,-31.49,34.79,29.00,-22.00,4.00
0.23,0.03,0.98,32.23,-21.61,31.01,23.00,-19.00,14.00
0.18,0.00,1.02,20.87,-12.63,27.34,20.00,-18.00,9.00
0.15,-0.03,0.99,18.55,-12.82,24.11,12.00,-21.00,20.00
0.12,-0.07,1.01,27.83,-10.74,19.59,4.00,-26.00,26.00
0.12,-0.13,1.00,18.31,-13.06,22.77,-21.00,-46.00,26.00
0.10,-0.18,0.95,23.74,-7.02,20.26,-31.00,-61.00,15.00
0.11,-0.21,1.03,27.89,-8.30,24.96,-31.00,-68.00,-7.00
0.13,-0.29,1.03,17.58,9.64,30.33,-20.00,-65.00,-21.00
0.22,-0.28,1.10,19.35,49.44,35.16,-1.00,-50.00,-28.00
0.28,-0.21,0.97,13.37,71.78,26.61,2.00,-46.00,-26.00
0.45,-0.23,0.91,38.88,78.12,13.18,2.00,-45.00,-26.00
0.60,-0.29,0.83,16.78,89.23,6.29,0.00,-49.00,-24.00
0.70,-0.31,0.69,8.30,102.11,-14.53,2.00,-53.00,-27.00
0.78,-0.36,0.44,-1.65,103.03,-32.17,-1.00,-53.00,-25.00
0.80,-0.48,0.14,-1.65,78.12,-30.03,0.00,-51.00,-27.00
0.82,-0.54,0.04,-7.51,58.78,-21.85,1.00,-52.00,-25.00
0.83,-0.56,-0.06,-7.51,32.84,-3.42,0.00,-57.00,-25.00
0.85,-0.55,-0.06,4.58,25.09,-2.44,-1.00,-56.00,-25.00
0.84,-0.56,-0.11,-14.71,22.40,-1.71,-2.00,-57.00,-24.00
0.83,-0.54,-0.10,-8.36,25.33,-1.22,-3.00,-58.00,-18.00
0.81,-0.59,-0.19,-15.81,26.31,-2.56,0.00,-56.00,-15.00
0.81,-0.57,-0.16,-12.39,20.57,-0.31,1.00,-55.00,-14.00
0.80,-0.58,-0.18,-12.39,24.78,0.24,4.00,-55.00,-11.00
0.78,-0.57,-0.19,-27.77,23.38,-3.17,5.00,-54.00,-7.00
