ax,ay,az,gx,gy,gz,mx,my,mz
0.02,0.36,0.93,-2.50,0.37,-0.92,58.00,-7.00,-8.00
0.02,0.36,0.95,2.08,1.04,1.71,59.00,-5.00,-9.00
0.04,0.33,0.94,0.67,-0.24,2.14,58.00,-8.00,-12.00
0.04,0.35,0.95,-2.14,4.03,-0.49,58.00,-4.00,-14.00
0.10,0.26,1.19,19.78,107.36,-6.77,53.00,-10.00,-10.00
0.15,0.94,1.33,52.92,245.18,-83.44,52.00,-17.00,-7.00
0.70,-0.22,0.59,101.62,205.87,-17.58,58.00,-38.00,3.00
0.88,-0.22,0.16,53.34,157.53,-21.61,54.00,-53.00,12.00
0.92,-0.23,0.02,17.64,124.39,-14.77,43.00,-76.00,11.00
0.95,-0.34,-0.43,-49.62,92.53,-21.00,41.00,-81.00,2.00
1.05,-0.77,-0.49,-159.85,-2.32,-18.49,39.00,-83.00,-1.00
0.87,-0.61,-0.54,8.06,-47.30,96.50,48.00,-82.00,0.00
0.79,-0.37,-0.22,-63.84,-159.73,94.36,56.00,-74.00,10.00
0.40,-0.18,-0.09,-89.72,-270.57,159.79,64.00,-57.00,16.00
0.01,0.30,0.90,-12.45,-217.71,179.14,65.00,-31.00,14.00
-0.40,0.12,1.00,-76.72,-126.40,257.81,43.00,-2.00,-14.00
-0.49,0.25,1.00,19.65,11.78,149.60,39.00,-5.00,-19.00
-0.46,0.19,0.89,16.60,41.20,92.22,43.00,-9.00,-14.00
-0.49,0.15,1.08,18.37,44.13,74.16,52.00,-17.00,7.00
-0.44,0.00,0.92,-1.16,34.42,66.89,16.00,-45.00,-12.00
-0.34,0.07,1.22,-81.18,63.54,72.88,5.00,-38.00,-18.00
-0.32,0.06,1.23,42.85,144.59,31.62,-6.00,-35.00,-11.00
-0.05,-0.01,1.16,18.74,259.52,-5.13,-5.00,-53.00,0.00
0.35,0.03,0.55,-49.99,285.58,20.69,10.00,-77.00,-25.00
0.71,0.03,-0.01,-54.50,198.06,21.36,12.00,-80.00,-28.00
0.75,0.03,-0.50,-99.43,158.51,22.64,15.00,-82.00,-37.00
0.76,-0.03,-0.67,-104.74,104.06,29.17,15.00,-84.00,-41.00
0.56,0.00,-0.90,-115.97,76.97,48.22,14.00,-84.00,-37.00
0.52,-0.23,-0.96,-127.87,33.51,44.25,20.00,-85.00,-33.00
0.44,-0.44,-1.02,-213.75,-31.62,50.35,22.00,-87.00,-20.00
0.53,-0.91,-0.48,-293.33,-182.98,70.80,27.00,-83.00,-10.00
0.74,-0.66,0.15,-80.44,-124.15,43.76,53.00,-64.00,11.00
0.71,-0.36,0.05,-2.32,-127.08,6.04,58.00,-54.00,13.00
0.83,-0.56,0.28,-93.57,-136.05,44.25,63.00,-42.00,13.00
0.61,-0.35,1.00,-26.12,-104.86,134.70,68.00,-15.00,3.00
0.16,-0.01,1.19,30.58,2.20,203.25,66.00,5.00,16.00
-0.16,-0.06,0.99,42.11,-14.59,198.00,19.00,1.00,26.00
-0.22,0.38,0.93,64.64,-25.27,116.94,13.00,-20.00,2.00
-0.05,0.46,1.08,17.27,-29.66,-36.50,17.00,-26.00,-8.00
0.18,0.29,1.08,-6.47,1.59,-147.71,23.00,-16.00,-12.00
0.41,-0.06,0.80,51.82,35.71,-185.12,33.00,-9.00,-12.00
0.50,-0.70,1.01,-40.77,6.84,-60.61,43.00,-8.00,-10.00
0.26,-0.63,1.07,-52.80,-10.74,43.95,56.00,-6.00,-8.00
-0.06,-0.50,0.92,-8.54,1.46,121.64,57.00,-12.00,-4.00
-0.20,-0.13,0.90,0.37,-5.86,124.76,64.00,-25.00,21.00
-0.21,0.22,0.97,2.01,-12.94,115.66,30.00,-38.00,38.00
-0.26,0.50,1.02,-13.18,-37.90,53.53,8.00,-24.00,-10.00
-0.22,0.35,1.15,51.27,-12.63,-69.95,13.00,-20.00,-18.00
0.15,0.38,1.40,24.78,-2.38,-168.46,24.00,-9.00,-20.00
0.31,-0.04,1.22,56.21,31.31,-180.36,35.00,-3.00,-19.00
0.31,-0.73,0.96,9.28,86.18,-37.35,55.00,-4.00,-12.00
0.02,-0.76,0.70,-75.50,-0.43,89.42,61.00,-6.00,-3.00
-0.30,-0.04,0.97,-9.77,-4.70,137.51,64.00,-14.00,-1.00
-0.33,0.01,0.90,0.37,-22.09,125.12,63.00,-35.00,33.00
-0.34,0.43,0.88,22.34,-31.86,69.40,3.00,-23.00,-13.00
-0.40,0.39,1.02,38.64,-44.98,-42.11,13.00,-17.00,-24.00
-0.18,0.39,1.11,31.56,2.62,-141.30,21.00,-11.00,-31.00
0.24,-0.02,1.39,31.01,65.80,-166.50,31.00,-3.00,-28.00
0.34,-0.83,1.29,-27.53,60.55,-50.42,59.00,0.00,-19.00
0.07,-0.71,0.86,-59.27,28.50,63.05,61.00,-6.00,-9.00
-0.34,-0.22,0.97,-17.27,-10.86,139.34,63.00,-11.00,-6.00
-0.35,-0.06,0.90,-4.76,-19.23,120.36,35.00,-39.00,22.00
-0.38,0.27,0.94,23.01,-29.42,95.64,5.00,-30.00,-4.00
-0.47,0.37,0.67,45.90,-46.63,9.83,8.00,-23.00,-23.00
-0.42,0.35,1.09,60.30,-10.19,-59.14,16.00,-17.00,-30.00
-0.12,0.15,1.15,8.18,10.25,-159.67,21.00,-15.00,-40.00
0.11,-0.27,1.09,22.46,90.33,-141.30,48.00,0.00,-26.00
